date,S,V,implied volatility,delta,hedgingError,PNL,PNL (with hedge)
2011-07-05,532.44,44.2,0.26123,0.722638,0,0,0
2011-07-06,535.36,46.9,0.270996,0.733268,-0.592434,2.7,-0.592434
2011-07-07,546.6,55.3,0.271484,0.787548,-0.753078,11.1,-0.753078
2011-07-08,531.99,43.95,0.270264,0.719323,-0.912109,-0.25,-0.912109
2011-07-11,527.28,41,0.277588,0.691498,-1.35239,-3.2,-1.35239
2011-07-12,534.01,46.4,0.288574,0.722711,-2.10077,2.2,-2.10077
2011-07-13,538.26,49.3,0.288818,0.745061,-1.93166,5.1,-1.93166
2011-07-14,528.94,41.15,0.273926,0.706822,-0.727845,-3.05,-0.727845
2011-07-15,597.62,99.65,0.283203,0.940716,-10.6852,55.45,-10.6852
2011-07-18,594.94,97.65,0.302246,0.92641,-11.2091,53.45,-11.2091
2011-07-19,602.55,103.8,0.267578,0.960408,-10.3119,59.6,-10.3119
2011-07-20,595.35,97.8,0.301758,0.931759,-11.2301,53.6,-11.2301
2011-07-21,606.99,108.15,0.277344,0.964235,-10.7379,63.95,-10.7379
2011-07-22,618.23,118.7,0.25,0.985965,-10.4537,74.5,-10.4537
2011-07-25,618.98,119.95,0.295898,0.971622,-10.9682,75.75,-10.9682
2011-07-26,622.52,123.25,0.289062,0.978448,-10.8325,79.05,-10.8325
2011-07-27,607.22,108.65,0.306641,0.957675,-11.2068,64.45,-11.2068
2011-07-28,610.94,112.1,0.304688,0.964871,-11.0983,67.9,-11.0983
2011-07-29,603.69,106.8,0.37207,0.924791,-12.7976,62.6,-12.7976
